Flagge;Hexwert;Farbton;Saettigung;Blauanteil;HSL-Helligkeit;CIE L*;Vorschlag
St. Lucia;#66CCFF;200;100;72.6;70.0;78.0;Hellblau
Fidschi;#68BFE5;198;71;64.1;65.3;73.5;Hellblau
San Marino;#5EB6E4;201;71;44.1;63.1;70.5;Hellblau
Mikronesien;#75B2DD;205;60;95.7;66.3;70.1;Hellblau
Dschibuti;#6AB2E7;205;72;32.5;66.1;69.9;Hellblau
Argentinien;#74ACDF;209;63;67.1;66.5;68.4;Hellblau
Botswana;#75AADB;209;59;75.4;65.9;67.8;Hellblau
Palau;#4AADD6;198;63;71.7;56.5;66.7;Hellblau
Kasachstan;#00AFCA;188;100;82.1;39.6;65.7;Hellblau
Bahamas;#00ABC9;189;100;63.6;39.4;64.4;Hellblau
Tansania;#00A3DD;196;100;28.9;43.3;62.9;Hellblau
Luxemburg;#00A1DE;196;100;33.5;43.5;62.3;Hellblau
Ruanda;#00A1DE;196;100;47.7;43.5;62.3;Hellblau
Guatemala;#4997D0;205;59;67.1;55.1;60.0;Hellblau
Tuvalu;#5B97B1;198;36;72.3;52.5;59.5;Hellblau
Estland;#4891D9;210;66;33.5;56.7;58.6;Hellblau
Aserbaidschan;#0098C3;193;100;33.5;38.2;58.4;Hellblau
Usbekistan;#0099B5;189;100;30.8;35.5;58.1;Hellblau
Eritrea;#4189DD;212;70;16.5;56.1;56.3;Hellblau
Somalia;#4189DD;212;70;93.6;56.1;56.3;Hellblau
congo-democratic-republic-of-the;#007FFF;210;100;65.9;50.0;54.4;Hellblau
Komoren;#3A75C4;214;54;19.8;49.8;49.0;Grenzfall
Gabun;#3A75C4;214;54;32.9;49.8;49.0;Grenzfall
Honduras;#0073CF;207;100;68.9;40.6;48.0;Grenzfall
Äquatorialguinea;#0073CE;207;100;11.5;40.4;47.9;Grenzfall
antigua-and-barbuda;#0072C6;205;100;16.2;38.8;47.1;Grenzfall
