Land;Verhältnis;Breite/Höhe
Abchasien;1:2;2,0000
Afghanistan;2:3;1,5000
Ägypten;2:3;1,5000
Åland;17:26;1,5294
Albanien;5:7;1,4000
Algerien;2:3;1,5000
Andorra;7:10;1,4286
Angola;2:3;1,5000
Anguilla;1:2;2,0000
Britisches Antarktis-Territorium;1:2;2,0000
Äquatorialguinea;2:3;1,5000
Argentinien;9:14;1,5556
Armenien;1:2;2,0000
Aruba;2:3;1,5000
Republik Arzach;1:2;2,0000
Aserbaidschan;1:2;2,0000
Äthiopien;1:2;2,0000
Australien;1:2;2,0000
Bahamas;1:2;2,0000
Bahrain;3:5;1,6667
Bangladesch;3:5;1,6667
Barbados;2:3;1,5000
Belarus;1:2;2,0000
Belgien;13:15;1,1538
Belize;3:5;1,6667
Benin;2:3;1,5000
Bermuda;1:2;2,0000
Bhutan;2:3;1,5000
Bolivien;15:22;1,4667
Bonaire;2:3;1,5000
Bosnien und Herzegowina;1:2;2,0000
Botswana;2:3;1,5000
Brasilien;7:10;1,4286
Brunei;1:2;2,0000
Bulgarien;3:5;1,6667
Burkina Faso;2:3;1,5000
Burundi;3:5;1,6667
Cayman Islands;1:2;2,0000
Chile;2:3;1,5000
Republik China (Taiwan);2:3;1,5000
Volksrepublik China;2:3;1,5000
Cookinseln;1:2;2,0000
Costa Rica;3:5;1,6667
Curaçao;2:3;1,5000
Dänemark;28:37;1,3214
Deutschland;3:5;1,6667
Dominica;1:2;2,0000
Dominikanische Republik;5:8;1,6000
Dschibuti;2:3;1,5000
Ecuador;2:3;1,5000
El Salvador;~19:34;1,7895
Elfenbeinküste;2:3;1,5000
England;3:5;1,6667
Eritrea;1:2;2,0000
Estland;7:11;1,5714
Eswatini;2:3;1,5000
Europäische Union;2:3;1,5000
Falklandinseln;1:2;2,0000
Färöer;8:11;1,3750
Fidschi;1:2;2,0000
Finnland;11:18;1,6364
Frankreich;2:3;1,5000
Gabun;3:4;1,3333
Gambia;2:3;1,5000
Georgien;2:3;1,5000
Ghana;2:3;1,5000
Gibraltar;1:2;2,0000
Grenada;3:5;1,6667
Griechenland;2:3;1,5000
Grönland;2:3;1,5000
Guadeloupe;2:3;1,5000
Guam;22:41;1,8636
Guatemala;5:8;1,6000
Guernsey;2:3;1,5000
Guinea;2:3;1,5000
Guinea-Bissau;1:2;2,0000
Guyana;3:5;1,6667
Französisch-Guayana;2:3;1,5000
Haiti;3:5;1,6667
Honduras;1:2;2,0000
Hongkong;2:3;1,5000
Indien;2:3;1,5000
Indonesien;2:3;1,5000
Irak;2:3;1,5000
Iran;4:7;1,7500
Iran (‚Persien‘);1:3;3,0000
Irland;1:2;2,0000
Island;18:25;1,3889
Isle of Man;1:2;2,0000
Israel;8:11;1,3750
Italien;2:3;1,5000
Jamaika;1:2;2,0000
Japan;2:3;1,5000
Jemen;2:3;1,5000
Jersey;3:5;1,6667
Jordanien;1:2;2,0000
Amerikanische Jungferninseln;2:3;1,5000
Britische Jungferninseln;1:2;2,0000
Kambodscha;16:25;1,5625
Kamerun;2:3;1,5000
Kanada;1:2;2,0000
Kap Verde;~3:5;1,6667
Karakalpakistan;1:2;2,0000
Kasachstan;1:2;2,0000
Katar;11:28;2,5455
Kenia;2:3;1,5000
Kirgisistan;3:5;1,6667
Kiribati;1:2;2,0000
Kokosinseln;1:2;2,0000
Kolumbien;2:3;1,5000
Komoren;3:5;1,6667
Demokratische Republik Kongo;3:4;1,3333
Republik Kongo;2:3;1,5000
Südkorea;2:3;1,5000
Kosovo;2:3;1,5000
Kroatien;1:2;2,0000
Kuba;1:2;2,0000
Autonome Region Kurdistan;2:3;1,5000
Kuwait;1:2;2,0000
Laos;2:3;1,5000
Lesotho;2:3;1,5000
Lettland;1:2;2,0000
Libanon;2:3;1,5000
Liberia;10:19;1,9000
Libyen;1:2;2,0000
Liechtenstein;3:5;1,6667
Litauen;3:5;1,6667
Luxemburg;3:5;1,6667
Macau;2:3;1,5000
Madagaskar;2:3;1,5000
Malawi;2:3;1,5000
Malaysia;1:2;2,0000
Malediven;2:3;1,5000
Mali;2:3;1,5000
Malta;2:3;1,5000
Nördliche Marianen;1:2;2,0000
Marokko;2:3;1,5000
Marshallinseln;10:19;1,9000
Martinique;8:11;1,3750
Mauretanien;2:3;1,5000
Mauritius;2:3;1,5000
Mexiko;4:7;1,7500
Föderierte Staaten von Mikronesien;10:19;1,9000
Moldau;1:2;2,0000
Monaco;4:5;1,2500
Mongolei;1:2;2,0000
Montenegro;1:2;2,0000
Montserrat;1:2;2,0000
Mosambik;2:3;1,5000
Myanmar;2:3;1,5000
Namibia;2:3;1,5000
Nauru;1:2;2,0000
Nepal;61:50;0,8197
Neukaledonien;1:2;2,0000
Neuseeland;1:2;2,0000
Nicaragua;3:5;1,6667
Niederlande;2:3;1,5000
Niederländische Antillen;2:3;1,5000
Niger;6:7;1,1667
Nigeria;1:2;2,0000
Niue;1:2;2,0000
Nordirland;1:2;2,0000
Nordkorea;1:2;2,0000
Nordmazedonien;1:2;2,0000
Türkische Republik Nordzypern;2:3;1,5000
Norfolkinsel;1:2;2,0000
Norwegen;8:11;1,3750
Österreich;2:3;1,5000
Palästina;1:2;2,0000
Peru;2:3;1,5000
Philippinen;1:2;2,0000
Pitcairninseln;1:2;2,0000
Polen;5:8;1,6000
Französisch-Polynesien;2:3;1,5000
Portugal;2:3;1,5000
Puerto Rico;2:3;1,5000
Réunion;2:3;1,5000
Ruanda;2:3;1,5000
Rumänien;2:3;1,5000
Russland;2:3;1,5000
Saba;2:3;1,5000
St. Kitts und Nevis;2:3;1,5000
St. Lucia;1:2;2,0000
St. Vincent und die Grenadinen;2:3;1,5000
Saint-Pierre und Miquelon;2:3;1,5000
Salomonen;1:2;2,0000
Sambia;2:3;1,5000
Amerikanisch-Samoa;1:2;2,0000
Samoa;1:2;2,0000
San Marino;3:4;1,3333
São Tomé und Príncipe;1:2;2,0000
Saudi-Arabien;2:3;1,5000
Schottland;3:5;1,6667
Schweden;5:8;1,6000
Schweiz;1:1;1,0000
Senegal;2:3;1,5000
Serbien;2:3;1,5000
Seychellen;1:2;2,0000
Sierra Leone;2:3;1,5000
Simbabwe;1:2;2,0000
Singapur;2:3;1,5000
Sint Eustatius;2:3;1,5000
Sint Maarten;2:3;1,5000
Slowakei;2:3;1,5000
Slowenien;1:2;2,0000
Somalia;2:3;1,5000
Somaliland;1:2;2,0000
Spanien;2:3;1,5000
Sri Lanka;1:2;2,0000
Südafrika;2:3;1,5000
Sudan;1:2;2,0000
Südgeorgien und die Südlichen Sandwichinseln;1:2;2,0000
Südossetien;1:2;2,0000
Südsudan;1:2;2,0000
Suriname;2:3;1,5000
Syrien;2:3;1,5000
Tadschikistan;1:2;2,0000
Tansania;2:3;1,5000
Britisches Territorium im Indischen Ozean;1:2;2,0000
Thailand;2:3;1,5000
Togo;50:81;1,6200
Tokelau;1:2;2,0000
Tonga;1:2;2,0000
Transnistrien;1:2;2,0000
Trinidad und Tobago;3:5;1,6667
Tschad;2:3;1,5000
Tschechien;2:3;1,5000
Tunesien;2:3;1,5000
Türkei;2:3;1,5000
Turkmenistan;2:3;1,5000
Turks- und Caicosinseln;1:2;2,0000
Tuvalu;1:2;2,0000
Uganda;2:3;1,5000
Ukraine;2:3;1,5000
Ungarn;1:2;2,0000
Uruguay;2:3;1,5000
Usbekistan;1:2;2,0000
Vanuatu;19:36;1,8947
Vatikanstadt;1:1;1,0000
Venezuela;2:3;1,5000
Vereinigte Arabische Emirate;1:2;2,0000
Vereinigte Staaten;10:19;1,9000
Vereinigtes Königreich (Land);3:5;1,6667
Vereinigtes Königreich (See);1:2;2,0000
Vietnam;2:3;1,5000
Wales;3:5;1,6667
Weihnachtsinsel;1:2;2,0000
Westsahara;1:2;2,0000
Zentralafrikanische Republik;2:3;1,5000
