,,,,,Gösch,Zusatzelemente außerhalb des Gösch,Kreisstruktur,Welche Himmelskörper?,Wie viel Sterne?,Formation Sterne,Formation Mond mit Stern(en),Einfarbige Figur Kategorie,Wo?,Farbe (Kreis bzw. Zusatzelement),Farbe Zusatzelement im Kreis,Farbe Zusatzelement im Gösch
../images/pictures/flags96/Afghanistan.jpg,,Afghanistan,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Komplexes Emblem,Mitte,Farbe,x,x
../images/pictures/flags96/Albania.jpg,,Albania,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Tier,Mitte,Farbe,x,x
../images/pictures/flags96/Algeria.jpg,,Algeria,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach rechts offen,x,Mitte,Farbe,x,x
../images/pictures/flags96/Andorra.jpg,,Andorra,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Angola.jpg,,Angola,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gegenstand,Mitte,Farbe,x,x
../images/pictures/flags96/Argentina.jpg,,Argentina,,,x,Nur Himmelskörper,x,Sonne,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Australia.jpg,,Australia,,,Union Jack,Nur Himmelskörper,x,Sterne,6,Anders,x,x,Verteilt,Farbe,x,Farbe
../images/pictures/flags96/Azerbaijan.jpg,,Azerbaijan,,,x,Nur Himmelskörper,x,Mond und Stern,x,x,Nach rechts offen,x,Mitte,Farbe,x,x
../images/pictures/flags96/Bangladesh.jpg,,Bangladesh,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Nichts,x,x,x,x,x,Links mittig,Farbe,x,x
../images/pictures/flags96/Barbados.jpg,,Barbados,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Gegenstand,Mitte,Farbe,x,x
../images/pictures/flags96/Belarus.jpg,,Belarus,,,x,Komplexes Emblem,x,x,x,x,x,x,Links mittig,x,x,x
../images/pictures/flags96/Belize.jpg,,Belize,,,x,Klar farbig abgegrenzter Kreis mit eventuell noch was drin,Komplexes Emblem,x,x,x,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Bermuda.jpg,,Bermuda,,,Union Jack,Komplexes Emblem,x,x,x,x,x,x,Rechts mittig,x,x,Farbe
../images/pictures/flags96/Bhutan.jpg,,Bhutan,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Tier,Mitte,Farbe,x,x
../images/pictures/flags96/Bosnia_and_Herzegovina.jpg,,Bosnia_and_Herzegovina,,,x,Nur Himmelskörper,x,Sterne,9,Diagonale Reihe,x,x,Mitte,Farbe,x,x
../images/pictures/flags96/Brazil.jpg,,Brazil,,,x,Komplexes Emblem,x,x,x,x,x,x,Mitte,x,x,x
../images/pictures/flags96/Brunei.jpg,,Brunei,,,x,Nur eine einfarbige Figur (Umrandung zählt nicht),x,x,x,x,x,Komplexes Emblem,Mitte,Farbe,x,x
